"Wavelength","Fluorescein (FITC) EM","EYFP EM","mOrange EM","Kaede (Red) EM","Kaede (Red) EX","CFP EX","CFP EM","EYFP EX","mOrange EX","Pacific Blue EX","Pacific Blue EM","Fluorescein (FITC) EX","APC (allophycocyanin) AB","APC (allophycocyanin) EM","PerCP-Cy5.5 AB","PerCP-Cy5.5 EM","APC/Cy7 EX","APC/Cy7 EM"
391,,,,,0.0595,0.4467,,0.0615,0.0014,0.886,,0.0618,,,0.4204
392,,,,,0.0576,0.454,,0.062,0.0014,0.9006,,0.0598,,,0.4247
393,,,,,0.055,0.4612,,0.0604,0.0015,0.9157,,0.059,,,0.4288
394,,,,,0.0532,0.4684,,0.0589,0.0014,0.9281,,0.0568,,,0.4345
395,,,,,0.0529,0.4753,,0.059,0.0015,0.9408,,0.0558,,,0.4402
396,,,,,0.0524,0.4822,,0.0597,0.0015,0.9526,,0.0562,,,0.4449
397,,,,,0.0516,0.4896,,0.0601,0.0016,0.9637,,0.0541,,,0.4506
398,,,,,0.0505,0.4969,,0.0605,0.0016,0.9735,,0.0525,,,0.4568
399,,,,,0.0494,0.5057,,0.0569,0.0018,0.9814,,0.0516,,,0.464
400,,,,,0.049,0.5145,,0.0572,0.0018,0.9875,,0.0517,,,0.4738
401,,,,,0.05,0.5253,,0.0575,0.002,0.9942,,0.0509,,,0.4845
402,,,,,0.0502,0.5361,,0.0575,0.0021,0.9974,,0.0516,,,0.4953
403,,,,,0.0494,0.5483,,0.0562,0.0022,0.9991,,0.0501,,,0.505
404,,,,,0.0501,0.5605,,0.0574,0.0023,1,,0.0501,,,0.5179
405,,,,,0.0508,0.5735,,0.0572,0.0024,0.9987,,0.0505,,,0.5317
406,,,,,0.0506,0.5866,,0.0545,0.0025,0.9951,,0.0527,,,0.5446
407,,,,,0.0506,0.6011,,0.0526,0.0027,0.9898,,0.0508,,,0.5595
408,,,,,0.0501,0.6155,,0.0551,0.0029,0.9825,,0.0513,,,0.5732
